Zip.Code,Population
14884 and 12781,240
12507,236
12493,233
13666,228
13675,227
12036,224
14708 and 11975,223
12169,222
10519,220
14874,216
12976 and 12069,213
12961 and 11956,212
12939,211
12492,210
13628,209
13134,208
14415 and 12792,205
13342,202
12161 and 12465,199
12987 and 11430,198
12459 and 12042,196
14592 and 13774,192
12165,191
10985 and 13859,189
12964,186
14827 and 13115,185
13695,184
6390,183
12495 and 12031,182
14545,180
12741,175
13345,174
10503 and 13362,173
10979 and 14539,171
14041,166
14130,165
13360 and 12040,163
13064,161
12769,160
13404,158
12139,156
12512,155
12450,154
13651 and 12874,153
14707,152
13488,151
10199,148
14479,146
13674,145
12745,143
13845 and 14529,138
12856 and 12407,137
12767,136
14732,133
12725,130
10545,129
12115,127
13441,124
14135 and 13436,123
12195 and 12194,121
13331,120
12530,117
14134 and 12089,115
14537,114
12720 and 12858,113
13677,112
13020,110
14302,109
13301,108
13341 and 12841,107
13364 and 13784,106
14721 and 13751,105
10932 and 12812,104
10915,98
10953,96
14585,95
13124 and 14169,94
14039 and 12722,92
12742,90
12924,88
12973,86
12131,85
13847,84
14035,77
14774,74
14788,73
14549,71
13794 and 14756,70
12441,68
"13087, 13415, and 13472",66
13641,65
13692,64
14542,60
12736,58
11770,57
12933,52
12872 and 13696,47
12784,46
11931,44
10279 and 11973,43
13450,42
13062,40
12436 and 12922,39
13647,37
13643,36
13333,34
"12438, 13352, 14168, and 13102",32
12811 and 12490,28
13860,26
12911,25
12864,24
14112,18
13475,16
13826,15
14854 and 13623,13
13353,10
12862,5
